n,serial_us,hpc_threads,hpc_us,ai_threads,ai_hpc_us,speedup_hpc,speedup_ai_hpc
64,53.83,8,440.54,1,19.25,0.1222,2.7966
128,32.21,8,567.67,1,35.42,0.0567,0.9094
256,65.83,8,584.62,1,59.29,0.1126,1.1103
512,108.92,8,492.54,1,101.17,0.2211,1.0766
1024,200.17,8,505.5,1,189.04,0.396,1.0588
2048,400.33,8,566.88,1,399.67,0.7062,1.0017
4096,923.17,8,943.71,4,597.08,0.9782,1.5461
8192,1939.04,8,1586.62,4,992.21,1.2221,1.9543
16384,4073.79,8,2605.38,4,2204.83,1.5636,1.8477
32768,8917.33,8,4374.42,4,4013.17,2.0385,2.222
65536,19194.0,8,8055.62,4,7719.96,2.3827,2.4863
131072,40958.0,8,15391.8,16,15332.7,2.661,2.6713
262144,87290.2,8,29280.1,16,29189.9,2.9812,2.9904
524288,186269.0,8,59741.2,16,57510.2,3.1179,3.2389
1048576,392771.0,8,121531.0,16,117444.0,3.2319,3.3443
